,Date,Time,Frequency,db
0,2024-07-30,16:39:12.664850,90000000.0,-83.75
1,2024-07-30,16:39:12.664850,90098039.22,-69.61
2,2024-07-30,16:39:12.664850,90196078.44,-65.28
3,2024-07-30,16:39:12.664850,90294117.66,-66.4
4,2024-07-30,16:39:12.664850,90392156.88,-70.83
5,2024-07-30,16:39:12.664850,90490196.1,-72.99
6,2024-07-30,16:39:12.664850,90588235.32,-79.67
7,2024-07-30,16:39:12.664850,90686274.54,-79.96
8,2024-07-30,16:39:12.664850,90784313.76,-78.68
9,2024-07-30,16:39:12.664850,90882352.98,-72.53
10,2024-07-30,16:39:12.664850,90980392.2,-60.01
11,2024-07-30,16:39:12.664850,91078431.42,-60.03
12,2024-07-30,16:39:12.664850,91176470.64,-70.44
13,2024-07-30,16:39:12.664850,91274509.86,-78.55
14,2024-07-30,16:39:12.664850,91372549.08,-72.58
15,2024-07-30,16:39:12.664850,91470588.3,-69.42
16,2024-07-30,16:39:12.664850,91568627.52,-92.33
17,2024-07-30,16:39:12.664850,91666666.74,-78.09
18,2024-07-30,16:39:12.664850,91764705.96,-80.94
19,2024-07-30,16:39:12.664850,91862745.18,-79.89
20,2024-07-30,16:39:12.664850,91960784.4,-79.45
21,2024-07-30,16:39:12.664850,92058823.62,-80.93
22,2024-07-30,16:39:12.664850,92156862.84,-99.32
23,2024-07-30,16:39:12.664850,92254902.06,-70.57
24,2024-07-30,16:39:12.664850,92352941.28,-72.78
25,2024-07-30,16:39:12.664850,92450980.5,-73.71
26,2024-07-30,16:39:12.664850,92549019.72,-68.37
27,2024-07-30,16:39:12.664850,92647058.94,-69.94
28,2024-07-30,16:39:12.664850,92745098.16,-73.94
29,2024-07-30,16:39:12.664850,92843137.38,-81.34
30,2024-07-30,16:39:12.664850,92941176.6,-82.15
31,2024-07-30,16:39:12.664850,93039215.82,-81.14
32,2024-07-30,16:39:12.664850,93137255.04,-61.85
33,2024-07-30,16:39:12.664850,93235294.26,-55.2
34,2024-07-30,16:39:12.664850,93333333.48,-61.34
35,2024-07-30,16:39:12.664850,93431372.7,-77.36
36,2024-07-30,16:39:12.664850,93529411.92,-75.08
37,2024-07-30,16:39:12.664850,93627451.14,-72.88
38,2024-07-30,16:39:12.664850,93725490.36,-69.14
39,2024-07-30,16:39:12.664850,93823529.58,-69.12
40,2024-07-30,16:39:12.664850,93921568.8,-76.73
41,2024-07-30,16:39:12.664850,94019608.02,-71.85
42,2024-07-30,16:39:12.664850,94117647.24,-73.89
43,2024-07-30,16:39:12.664850,94215686.46,-72.69
44,2024-07-30,16:39:12.664850,94313725.68,-69.94
45,2024-07-30,16:39:12.664850,94411764.9,-73.1
46,2024-07-30,16:39:12.664850,94509804.12,-77.14
47,2024-07-30,16:39:12.664850,94607843.34,-78.78
48,2024-07-30,16:39:12.664850,94705882.56,-79.97
49,2024-07-30,16:39:12.664850,94803921.78,-70.65
50,2024-07-30,16:39:12.664850,94901961.0,-68.75
102,2024-07-30,16:39:12.664850,95000000.0,-72.43
103,2024-07-30,16:39:12.664850,95098039.22,-66.76
104,2024-07-30,16:39:12.664850,95196078.44,-73.52
105,2024-07-30,16:39:12.664850,95294117.66,-81.37
106,2024-07-30,16:39:12.664850,95392156.88,-70.94
107,2024-07-30,16:39:12.664850,95490196.1,-69.62
108,2024-07-30,16:39:12.664850,95588235.32,-69.6
109,2024-07-30,16:39:12.664850,95686274.54,-67.7
110,2024-07-30,16:39:12.664850,95784313.76,-69.37
111,2024-07-30,16:39:12.664850,95882352.98,-71.56
112,2024-07-30,16:39:12.664850,95980392.2,-69.37
113,2024-07-30,16:39:12.664850,96078431.42,-67.91
114,2024-07-30,16:39:12.664850,96176470.64,-77.27
115,2024-07-30,16:39:12.664850,96274509.86,-72.31
116,2024-07-30,16:39:12.664850,96372549.08,-73.99
117,2024-07-30,16:39:12.664850,96470588.3,-72.71
118,2024-07-30,16:39:12.664850,96568627.52,-73.44
119,2024-07-30,16:39:12.664850,96666666.74,-70.33
120,2024-07-30,16:39:12.664850,96764705.96,-68.87
121,2024-07-30,16:39:12.664850,96862745.18,-84.34
122,2024-07-30,16:39:12.664850,96960784.4,-71.78
123,2024-07-30,16:39:12.664850,97058823.62,-76.57
124,2024-07-30,16:39:12.664850,97156862.84,-73.2
125,2024-07-30,16:39:12.664850,97254902.06,-72.49
126,2024-07-30,16:39:12.664850,97352941.28,-90.16
127,2024-07-30,16:39:12.664850,97450980.5,-78.6
128,2024-07-30,16:39:12.664850,97549019.72,-72.57
129,2024-07-30,16:39:12.664850,97647058.94,-70.64
130,2024-07-30,16:39:12.664850,97745098.16,-87.4
131,2024-07-30,16:39:12.664850,97843137.38,-71.55
132,2024-07-30,16:39:12.664850,97941176.6,-76.49
133,2024-07-30,16:39:12.664850,98039215.82,-82.32
134,2024-07-30,16:39:12.664850,98137255.04,-77.22
135,2024-07-30,16:39:12.664850,98235294.26,-75.88
136,2024-07-30,16:39:12.664850,98333333.48,-72.59
137,2024-07-30,16:39:12.664850,98431372.7,-69.98
138,2024-07-30,16:39:12.664850,98529411.92,-73.27
139,2024-07-30,16:39:12.664850,98627451.14,-72.24
140,2024-07-30,16:39:12.664850,98725490.36,-69.85
141,2024-07-30,16:39:12.664850,98823529.58,-70.56
142,2024-07-30,16:39:12.664850,98921568.8,-84.74
143,2024-07-30,16:39:12.664850,99019608.02,-83.74
144,2024-07-30,16:39:12.664850,99117647.24,-69.75
145,2024-07-30,16:39:12.664850,99215686.46,-69.29
146,2024-07-30,16:39:12.664850,99313725.68,-80.34
147,2024-07-30,16:39:12.664850,99411764.9,-83.39
148,2024-07-30,16:39:12.664850,99509804.12,-84.93
149,2024-07-30,16:39:12.664850,99607843.34,-82.99
150,2024-07-30,16:39:12.664850,99705882.56,-71.31
151,2024-07-30,16:39:12.664850,99803921.78,-68.99
152,2024-07-30,16:39:12.664850,99901961.0,-76.43
51,2024-07-30,16:39:12.664850,100000000.0,-105.33
52,2024-07-30,16:39:12.664850,100098039.22,-77.71
53,2024-07-30,16:39:12.664850,100196078.44,-75.07
54,2024-07-30,16:39:12.664850,100294117.66,-77.63
55,2024-07-30,16:39:12.664850,100392156.88,-72.26
56,2024-07-30,16:39:12.664850,100490196.1,-81.62
57,2024-07-30,16:39:12.664850,100588235.32,-78.88
58,2024-07-30,16:39:12.664850,100686274.54,-59.78
59,2024-07-30,16:39:12.664850,100784313.76,-55.39
60,2024-07-30,16:39:12.664850,100882352.98,-61.62
61,2024-07-30,16:39:12.664850,100980392.2,-70.26
62,2024-07-30,16:39:12.664850,101078431.42,-75.43
63,2024-07-30,16:39:12.664850,101176470.64,-56.9
64,2024-07-30,16:39:12.664850,101274509.86,-53.98
65,2024-07-30,16:39:12.664850,101372549.08,-65.27
66,2024-07-30,16:39:12.664850,101470588.3,-72.04
67,2024-07-30,16:39:12.664850,101568627.52,-70.1
68,2024-07-30,16:39:12.664850,101666666.74,-62.36
69,2024-07-30,16:39:12.664850,101764705.96,-67.51
70,2024-07-30,16:39:12.664850,101862745.18,-75.87
71,2024-07-30,16:39:12.664850,101960784.4,-67.97
72,2024-07-30,16:39:12.664850,102058823.62,-56.9
73,2024-07-30,16:39:12.664850,102156862.84,-58.83
74,2024-07-30,16:39:12.664850,102254902.06,-71.31
75,2024-07-30,16:39:12.664850,102352941.28,-77.05
76,2024-07-30,16:39:12.664850,102450980.5,-72.96
77,2024-07-30,16:39:12.664850,102549019.72,-77.15
78,2024-07-30,16:39:12.664850,102647058.94,-80.03
79,2024-07-30,16:39:12.664850,102745098.16,-73.31
80,2024-07-30,16:39:12.664850,102843137.38,-71.66
81,2024-07-30,16:39:12.664850,102941176.6,-70.83
82,2024-07-30,16:39:12.664850,103039215.82,-76.51
83,2024-07-30,16:39:12.664850,103137255.04,-66.27
84,2024-07-30,16:39:12.664850,103235294.26,-62.34
85,2024-07-30,16:39:12.664850,103333333.48,-65.06
86,2024-07-30,16:39:12.664850,103431372.7,-71.2
87,2024-07-30,16:39:12.664850,103529411.92,-75.58
88,2024-07-30,16:39:12.664850,103627451.14,-82.92
89,2024-07-30,16:39:12.664850,103725490.36,-74.31
90,2024-07-30,16:39:12.664850,103823529.58,-62.99
91,2024-07-30,16:39:12.664850,103921568.8,-64.5
92,2024-07-30,16:39:12.664850,104019608.02,-77.38
93,2024-07-30,16:39:12.664850,104117647.24,-70.23
94,2024-07-30,16:39:12.664850,104215686.46,-70.09
95,2024-07-30,16:39:12.664850,104313725.68,-72.81
96,2024-07-30,16:39:12.664850,104411764.9,-73.36
97,2024-07-30,16:39:12.664850,104509804.12,-70.62
98,2024-07-30,16:39:12.664850,104607843.34,-55.0
99,2024-07-30,16:39:12.664850,104705882.56,-55.48
100,2024-07-30,16:39:12.664850,104803921.78,-70.82
101,2024-07-30,16:39:12.664850,104901961.0,-78.42
153,2024-07-30,16:39:12.664850,105000000.0,-70.13
154,2024-07-30,16:39:12.664850,105098039.22,-72.05
155,2024-07-30,16:39:12.664850,105196078.44,-81.03
156,2024-07-30,16:39:12.664850,105294117.66,-62.74
157,2024-07-30,16:39:12.664850,105392156.88,-61.71
158,2024-07-30,16:39:12.664850,105490196.1,-71.5
159,2024-07-30,16:39:12.664850,105588235.32,-69.88
160,2024-07-30,16:39:12.664850,105686274.54,-68.07
161,2024-07-30,16:39:12.664850,105784313.76,-73.68
162,2024-07-30,16:39:12.664850,105882352.98,-62.11
163,2024-07-30,16:39:12.664850,105980392.2,-56.69
164,2024-07-30,16:39:12.664850,106078431.42,-62.03
165,2024-07-30,16:39:12.664850,106176470.64,-70.65
166,2024-07-30,16:39:12.664850,106274509.86,-69.25
167,2024-07-30,16:39:12.664850,106372549.08,-74.28
168,2024-07-30,16:39:12.664850,106470588.3,-80.96
169,2024-07-30,16:39:12.664850,106568627.52,-72.32
170,2024-07-30,16:39:12.664850,106666666.74,-68.37
171,2024-07-30,16:39:12.664850,106764705.96,-74.94
172,2024-07-30,16:39:12.664850,106862745.18,-75.28
173,2024-07-30,16:39:12.664850,106960784.4,-91.42
174,2024-07-30,16:39:12.664850,107058823.62,-68.76
175,2024-07-30,16:39:12.664850,107156862.84,-66.66
176,2024-07-30,16:39:12.664850,107254902.06,-68.56
177,2024-07-30,16:39:12.664850,107352941.28,-70.89
178,2024-07-30,16:39:12.664850,107450980.5,-85.82
179,2024-07-30,16:39:12.664850,107549019.72,-81.63
180,2024-07-30,16:39:12.664850,107647058.94,-70.5
181,2024-07-30,16:39:12.664850,107745098.16,-69.58
182,2024-07-30,16:39:12.664850,107843137.38,-75.67
183,2024-07-30,16:39:12.664850,107941176.6,-75.35
184,2024-07-30,16:39:12.664850,108039215.82,-80.68
185,2024-07-30,16:39:12.664850,108137255.04,-74.93
186,2024-07-30,16:39:12.664850,108235294.26,-68.63
187,2024-07-30,16:39:12.664850,108333333.48,-69.61
188,2024-07-30,16:39:12.664850,108431372.7,-73.32
189,2024-07-30,16:39:12.664850,108529411.92,-70.61
190,2024-07-30,16:39:12.664850,108627451.14,-74.37
191,2024-07-30,16:39:12.664850,108725490.36,-76.87
192,2024-07-30,16:39:12.664850,108823529.58,-72.16
193,2024-07-30,16:39:12.664850,108921568.8,-72.54
194,2024-07-30,16:39:12.664850,109019608.02,-70.02
195,2024-07-30,16:39:12.664850,109117647.24,-72.48
196,2024-07-30,16:39:12.664850,109215686.46,-77.02
197,2024-07-30,16:39:12.664850,109313725.68,-74.57
198,2024-07-30,16:39:12.664850,109411764.9,-73.54
199,2024-07-30,16:39:12.664850,109509804.12,-84.01
200,2024-07-30,16:39:12.664850,109607843.34,-86.16
201,2024-07-30,16:39:12.664850,109705882.56,-78.95
202,2024-07-30,16:39:12.664850,109803921.78,-72.49
203,2024-07-30,16:39:12.664850,109901961.0,-68.98
